invoice_id|line_no|item|qty|unit_price|amount
1|1|Performance Tuning|1|1353.94|1353.94
1|2|Storage Expansion|3|1829.91|5489.73
1|3|Premium SLA|1|2238.84|2238.84
1|4|Managed Service|1|2333.73|2333.73
2|1|Software Licence|1|1831.37|1831.37
3|1|Cloud Hosting|3|607.15|1821.45
3|2|Implementation Hours|2|358.81|717.62
3|3|Audit Review|1|1047.90|1047.90
3|4|Annual Maintenance|1|2101.29|2101.29
4|1|Implementation Hours|1|471.49|471.49
4|2|Backup Service|2|2153.63|4307.26
4|3|Consulting Day|5|2090.85|10454.25
4|4|Storage Expansion|1|1161.78|1161.78
4|5|Custom Report Pack|2|591.20|1182.40
4|6|Server Hardware|1|1832.22|1832.22
5|1|Storage Expansion|3|874.33|2622.99
6|1|Backup Service|3|987.55|2962.65
6|2|Support Plan|5|201.58|1007.90
7|1|Data Migration|1|1078.94|1078.94
7|2|Integration Module|2|165.77|331.54
8|1|Workshop|3|1030.31|3090.93
8|2|Premium SLA|2|2052.39|4104.78
9|1|Storage Expansion|3|1358.36|4075.08
9|2|Licence Renewal|1|865.88|865.88
9|3|Onboarding Package|2|101.71|203.42
9|4|Annual Maintenance|1|646.47|646.47
9|5|Data Migration|2|135.36|270.72
10|1|Storage Expansion|3|489.82|1469.46
10|2|Support Plan|8|1350.61|10804.88
11|1|Premium SLA|5|849.78|4248.90
12|1|Software Licence|1|154.76|154.76
12|2|Support Plan|10|1895.66|18956.60
13|1|Integration Module|2|2043.79|4087.58
13|2|Premium SLA|8|1957.60|15660.80
14|1|Implementation Hours|3|1684.06|5052.18
14|2|Storage Expansion|1|1533.13|1533.13
14|3|Workshop|5|514.48|2572.40
14|4|Software Licence|1|1861.71|1861.71
15|1|Data Migration|1|124.64|124.64
15|2|Cloud Hosting|2|2133.66|4267.32
15|3|Implementation Hours|2|323.03|646.06
15|4|Support Plan|1|183.50|183.50
15|5|Performance Tuning|1|452.03|452.03
15|6|Performance Tuning|8|1052.16|8417.28
16|1|Data Migration|1|420.71|420.71
16|2|Licence Renewal|10|1335.24|13352.40
17|1|Cloud Hosting|5|1225.30|6126.50
18|1|Storage Expansion|5|1097.22|5486.10
18|2|Support Plan|1|1660.63|1660.63
18|3|Consulting Day|1|1854.34|1854.34
18|4|Software Licence|3|2318.33|6954.99
18|5|Consulting Day|5|486.85|2434.25
18|6|Performance Tuning|3|1783.41|5350.23
19|1|Custom Report Pack|2|2084.92|4169.84
20|1|Integration Module|2|2032.09|4064.18
21|1|Audit Review|2|495.67|991.34
21|2|Training Session|2|413.92|827.84
22|1|Managed Service|1|878.40|878.40
22|2|Implementation Hours|1|1092.49|1092.49
22|3|Onboarding Package|2|900.33|1800.66
23|1|Licence Renewal|2|1861.10|3722.20
