invoice_id|invoice_no|customer_id|issue_date|due_date|status|total_amount
1|INV-2025-00001|39|2025-04-02|2025-05-17|Paid|11416.24
2|INV-2025-00002|59|2025-04-24|2025-05-08|Paid|1831.37
3|INV-2026-00003|10|2026-09-15|2026-11-14|Paid|5688.26
4|INV-2026-00004|13|2026-03-25|2026-04-24|Paid|19409.40
5|INV-2026-00005|7|2026-04-24|2026-06-08|Overdue|2622.99
6|INV-2025-00006|68|2025-06-03|2025-08-02|Paid|3970.55
7|INV-2025-00007|21|2025-06-27|2025-08-26|Paid|1410.48
8|INV-2026-00008|10|2026-09-15|2026-11-14|Paid|7195.71
9|INV-2026-00009|73|2026-02-20|2026-03-22|Paid|6061.57
10|INV-2025-00010|57|2025-02-09|2025-03-26|Overdue|12274.34
11|INV-2025-00011|27|2025-02-12|2025-03-29|Paid|4248.90
12|INV-2026-00012|16|2026-06-01|2026-07-01|Paid|19111.36
13|INV-2026-00013|47|2026-04-07|2026-06-06|Paid|19748.38
14|INV-2026-00014|71|2026-01-04|2026-03-05|Paid|11019.42
15|INV-2026-00015|55|2026-09-09|2026-10-24|Paid|14090.83
16|INV-2025-00016|15|2025-03-25|2025-04-24|Paid|13773.11
17|INV-2025-00017|60|2025-02-24|2025-05-25|Paid|6126.50
18|INV-2025-00018|4|2025-11-26|2026-01-10|Paid|23740.54
19|INV-2025-00019|45|2025-12-05|2026-03-05|Overdue|4169.84
20|INV-2025-00020|20|2025-06-10|2025-07-10|Paid|4064.18
21|INV-2025-00021|60|2025-10-21|2026-01-19|Paid|1819.18
22|INV-2025-00022|44|2025-12-13|2026-01-12|Paid|3771.55
23|INV-2026-00023|10|2026-04-19|2026-06-18|Paid|3722.20
24|INV-2026-00024|14|2026-07-30|2026-09-28|Overdue|4434.12
25|INV-2026-00025|43|2026-08-04|2026-10-03|Open|5395.82
26|INV-2026-00026|27|2026-07-18|2026-09-01|Paid|3715.53
27|INV-2025-00027|10|2025-02-13|2025-04-14|Paid|11305.40
28|INV-2025-00028|14|2025-09-09|2025-11-08|Paid|5306.65
29|INV-2026-00029|48|2026-01-14|2026-02-13|Paid|5080.53
30|INV-2025-00030|20|2025-10-06|2025-11-05|Paid|4459.74
31|INV-2026-00031|70|2026-04-13|2026-04-27|Paid|2010.41
32|INV-2026-00032|30|2026-01-29|2026-03-30|Overdue|2893.80
33|INV-2025-00033|46|2025-06-12|2025-07-27|Paid|499.47
34|INV-2026-00034|19|2026-06-19|2026-07-19|Overdue|1180.10
35|INV-2026-00035|3|2026-02-03|2026-03-05|Paid|2383.82
36|INV-2026-00036|18|2026-01-03|2026-03-04|Paid|29068.00
37|INV-2026-00037|51|2026-01-02|2026-02-16|Overdue|8718.10
38|INV-2026-00038|35|2026-08-18|2026-10-02|Paid|32061.83
39|INV-2025-00039|11|2025-01-28|2025-02-27|Paid|5386.26
40|INV-2026-00040|53|2026-05-22|2026-08-20|Paid|2637.05
41|INV-2026-00041|75|2026-05-11|2026-05-25|Paid|17507.47
42|INV-2026-00042|70|2026-06-09|2026-06-23|Paid|23744.59
43|INV-2026-00043|44|2026-08-08|2026-09-07|Paid|12258.88
44|INV-2025-00044|80|2025-08-04|2025-09-03|Paid|2042.00
45|INV-2025-00045|76|2025-10-18|2025-12-02|Overdue|5034.98
46|INV-2025-00046|62|2025-08-07|2025-11-05|Paid|16377.24
47|INV-2025-00047|57|2025-07-03|2025-08-17|Overdue|7639.40
48|INV-2025-00048|39|2025-04-24|2025-06-08|Paid|7521.48
49|INV-2025-00049|57|2025-11-15|2025-12-30|Overdue|6526.72
50|INV-2025-00050|31|2025-02-14|2025-03-16|Paid|3085.90
51|INV-2026-00051|56|2026-09-10|2026-10-25|Paid|487.42
52|INV-2025-00052|13|2025-04-26|2025-05-26|Paid|2111.01
53|INV-2026-00053|39|2026-06-11|2026-07-26|Paid|21839.29
54|INV-2026-00054|24|2026-07-01|2026-09-29|Paid|2490.39
55|INV-2026-00055|60|2026-01-22|2026-04-22|Paid|8957.90
56|INV-2026-00056|38|2026-05-10|2026-06-09|Paid|30521.02
57|INV-2025-00057|67|2025-10-19|2025-12-18|Paid|2779.86
58|INV-2026-00058|61|2026-04-22|2026-05-22|Paid|10416.16
59|INV-2026-00059|59|2026-06-13|2026-06-27|Paid|9932.95
60|INV-2025-00060|26|2025-08-02|2025-09-16|Paid|3402.22
61|INV-2025-00061|60|2025-11-15|2026-02-13|Paid|4434.74
62|INV-2025-00062|29|2025-08-27|2025-09-26|Paid|2504.10
63|INV-2025-00063|7|2025-07-15|2025-08-29|Overdue|8380.25
64|INV-2025-00064|28|2025-10-11|2025-12-10|Paid|285.05
65|INV-2026-00065|52|2026-01-31|2026-02-14|Paid|328.72
