payment_id|invoice_id|paid_date|method|amount
1|912|2025-01-11|Bank Transfer|13338.79
2|228|2025-01-12|Bank Transfer|4020.22
3|1356|2025-01-12|Bank Transfer|8125.21
4|1413|2025-01-13|Check|1824.24
5|332|2025-01-18|Direct Debit|3742.71
6|1570|2025-01-18|Bank Transfer|3044.72
7|899|2025-01-19|Direct Debit|425.03
8|1920|2025-01-19|Bank Transfer|4064.38
9|211|2025-01-20|Direct Debit|17429.49
10|258|2025-01-22|Bank Transfer|5601.32
11|1637|2025-01-23|Bank Transfer|1322.37
12|507|2025-01-25|Bank Transfer|6216.36
13|1182|2025-01-28|Bank Transfer|9045.41
14|1253|2025-01-29|Direct Debit|14074.14
15|1606|2025-01-31|Bank Transfer|2848.60
16|1941|2025-02-01|Credit Card|13354.10
17|1608|2025-02-02|Bank Transfer|7239.21
18|1905|2025-02-03|Bank Transfer|3248.77
19|1033|2025-02-04|Bank Transfer|12124.57
20|1240|2025-02-04|Check|17863.51
21|476|2025-02-06|Check|3058.72
22|1432|2025-02-06|Bank Transfer|7152.10
23|279|2025-02-08|Direct Debit|2825.52
24|1696|2025-02-08|Bank Transfer|14903.22
25|1764|2025-02-09|Credit Card|6121.30
26|1887|2025-02-09|Bank Transfer|21802.51
27|1832|2025-02-10|Bank Transfer|4156.24
28|1886|2025-02-10|Bank Transfer|10180.33
29|182|2025-02-11|Credit Card|9638.31
30|732|2025-02-13|Bank Transfer|9376.16
31|1789|2025-02-14|Bank Transfer|8222.35
32|353|2025-02-15|Bank Transfer|5013.52
33|516|2025-02-15|Direct Debit|6976.40
34|1589|2025-02-17|Bank Transfer|5639.17
35|1678|2025-02-17|Bank Transfer|11206.14
36|736|2025-02-18|Credit Card|39384.48
37|894|2025-02-18|Credit Card|2213.37
38|897|2025-02-19|Bank Transfer|1609.49
39|1284|2025-02-19|Bank Transfer|129.33
40|235|2025-02-20|Bank Transfer|11996.69
41|557|2025-02-20|Bank Transfer|1023.12
42|1609|2025-02-20|Bank Transfer|22519.24
43|1702|2025-02-20|Bank Transfer|7093.64
44|50|2025-02-21|Bank Transfer|3085.90
45|794|2025-02-21|Bank Transfer|16780.96
46|638|2025-02-22|Bank Transfer|9763.79
47|1241|2025-02-22|Bank Transfer|5816.00
48|1711|2025-02-22|Direct Debit|1847.24
49|1798|2025-02-22|Bank Transfer|3123.20
50|287|2025-02-23|Direct Debit|1017.10
51|379|2025-02-25|Bank Transfer|3080.05
52|503|2025-02-25|Direct Debit|812.59
53|844|2025-02-25|Direct Debit|1349.59
54|1636|2025-02-25|Bank Transfer|6650.64
55|777|2025-02-26|Bank Transfer|30020.20
56|1293|2025-02-27|Bank Transfer|1183.15
57|1328|2025-02-28|Bank Transfer|373.91
58|1670|2025-02-28|Bank Transfer|4191.92
59|800|2025-03-01|Direct Debit|15864.75
60|896|2025-03-02|Direct Debit|5906.19
61|1596|2025-03-03|Bank Transfer|3725.74
62|586|2025-03-05|Bank Transfer|4614.53
63|39|2025-03-06|Direct Debit|5386.26
64|1517|2025-03-06|Bank Transfer|6425.36
65|1833|2025-03-06|Bank Transfer|6502.73
66|1763|2025-03-08|Bank Transfer|22691.71
67|1767|2025-03-08|Bank Transfer|10420.29
68|1508|2025-03-09|Direct Debit|10109.37
69|1647|2025-03-09|Direct Debit|4541.95
70|1336|2025-03-10|Credit Card|1150.50
71|1581|2025-03-10|Bank Transfer|8247.88
72|1810|2025-03-11|Direct Debit|17789.82
73|1986|2025-03-12|Bank Transfer|21086.92
74|324|2025-03-13|Bank Transfer|1887.71
75|1469|2025-03-13|Direct Debit|6660.35
76|1850|2025-03-13|Direct Debit|3663.55
77|733|2025-03-15|Credit Card|2741.10
78|1686|2025-03-15|Bank Transfer|12497.40
79|437|2025-03-16|Bank Transfer|21637.73
80|495|2025-03-17|Direct Debit|6419.49
81|803|2025-03-17|Bank Transfer|1713.29
82|1094|2025-03-17|Bank Transfer|22518.08
83|1851|2025-03-17|Direct Debit|11844.05
84|1216|2025-03-18|Credit Card|38412.10
85|1689|2025-03-18|Direct Debit|3855.17
86|77|2025-03-19|Bank Transfer|20108.16
87|742|2025-03-19|Bank Transfer|2259.35
88|832|2025-03-19|Check|24522.30
89|917|2025-03-20|Credit Card|6997.74
90|1436|2025-03-20|Direct Debit|12476.98
91|239|2025-03-21|Bank Transfer|9376.96
92|1561|2025-03-21|Credit Card|2595.74
93|1293|2025-03-22|Credit Card|2760.68
94|168|2025-03-24|Bank Transfer|14137.17
95|457|2025-03-24|Bank Transfer|6243.77
96|696|2025-03-24|Credit Card|2894.74
97|1839|2025-03-24|Bank Transfer|11979.82
98|1908|2025-03-24|Direct Debit|16803.44
99|268|2025-03-26|Bank Transfer|1471.60
100|702|2025-03-26|Bank Transfer|41540.70
101|1221|2025-03-26|Direct Debit|25527.19
102|237|2025-03-27|Credit Card|1723.21
103|200|2025-03-28|Credit Card|8085.94
104|457|2025-03-28|Credit Card|4162.52
105|554|2025-03-28|Bank Transfer|13222.85
106|931|2025-03-28|Bank Transfer|2882.61
107|790|2025-03-29|Bank Transfer|11792.10
108|1890|2025-03-29|Bank Transfer|11149.75
109|623|2025-03-30|Direct Debit|3226.81
110|1544|2025-03-30|Bank Transfer|22847.29
111|27|2025-04-01|Direct Debit|11305.40
112|188|2025-04-01|Credit Card|3938.94
113|1818|2025-04-01|Bank Transfer|3284.30
114|1257|2025-04-02|Bank Transfer|4799.92
115|1915|2025-04-02|Credit Card|2218.91
116|257|2025-04-03|Bank Transfer|22272.98
117|683|2025-04-04|Bank Transfer|15243.83
118|1198|2025-04-04|Direct Debit|2657.11
119|1215|2025-04-04|Bank Transfer|16665.69
120|1490|2025-04-04|Bank Transfer|9076.66
121|11|2025-04-05|Bank Transfer|4248.90
122|1664|2025-04-05|Bank Transfer|16812.18
123|295|2025-04-06|Bank Transfer|1126.80
124|1361|2025-04-06|Direct Debit|10982.74
125|172|2025-04-07|Bank Transfer|6353.68
126|1472|2025-04-07|Credit Card|7015.32
127|1577|2025-04-07|Bank Transfer|9107.09
128|1826|2025-04-07|Bank Transfer|6638.44
129|1359|2025-04-08|Credit Card|5366.13
130|1982|2025-04-08|Bank Transfer|14870.59
131|667|2025-04-09|Bank Transfer|8531.34
132|762|2025-04-09|Bank Transfer|1221.92
133|801|2025-04-09|Bank Transfer|6011.16
134|1017|2025-04-09|Bank Transfer|4497.17
135|300|2025-04-10|Direct Debit|43098.62
136|1537|2025-04-10|Check|1421.20
137|386|2025-04-11|Bank Transfer|17326.07
138|1662|2025-04-12|Bank Transfer|13866.91
139|666|2025-04-13|Check|5228.03
140|682|2025-04-13|Bank Transfer|17348.22
141|1811|2025-04-13|Bank Transfer|17798.60
142|116|2025-04-15|Direct Debit|1826.95
143|1790|2025-04-15|Direct Debit|4233.10
144|334|2025-04-16|Direct Debit|3626.10
145|1800|2025-04-16|Bank Transfer|24021.00
146|16|2025-04-17|Check|13773.11
147|79|2025-04-17|Bank Transfer|2571.65
148|1567|2025-04-17|Direct Debit|6979.03
149|1616|2025-04-17|Direct Debit|2696.31
150|918|2025-04-18|Credit Card|17904.84
151|1319|2025-04-18|Bank Transfer|8355.50
152|1401|2025-04-18|Check|8357.52
153|1795|2025-04-18|Direct Debit|13970.28
154|78|2025-04-19|Credit Card|12393.47
155|227|2025-04-19|Bank Transfer|12079.36
156|698|2025-04-19|Bank Transfer|2394.86
157|1995|2025-04-19|Direct Debit|26176.53
158|1872|2025-04-20|Bank Transfer|3359.86
159|844|2025-04-21|Bank Transfer|2024.38
160|1235|2025-04-21|Direct Debit|5142.33
161|1404|2025-04-21|Bank Transfer|31980.58
162|346|2025-04-23|Bank Transfer|4815.38
163|949|2025-04-23|Bank Transfer|18186.03
164|1294|2025-04-23|Bank Transfer|15619.67
165|1714|2025-04-23|Bank Transfer|4852.24
166|296|2025-04-24|Direct Debit|4635.90
167|372|2025-04-24|Bank Transfer|7879.68
