shipment_id|tracking_no|carrier_id|origin_depot_id|booked_date|delivered_date|status|dest_country|dest_city|weight_kg|shipping_cost|service_level|pallets|transit_days
1|TRK-2026-000001|6|1|2026-02-18|2026-03-06|Delivered|Spain|Seville|1324.38|34.53|Economy|4|16
2|TRK-2026-000002|3|17|2026-03-06|2026-03-08|Delivered|Germany|Cologne|651.60|60.42|Express|2|2
3|TRK-2025-000003|5|4|2025-10-03|2025-10-29|Delivered|France|Paris|9040.98|130.83|Economy|26|26
4|TRK-2026-000004|9|12|2026-01-23|2026-01-31|Delivered|Spain|Seville|2989.56|83.29|Economy|8|8
5|TRK-2026-000005|1|25|2026-03-03|2026-03-06|Delivered|United Kingdom|London|2264.74|165.43|Express|6|3
6|TRK-2026-000006|4|16|2026-05-01|2026-05-08|Returned|Portugal|Porto|186.05|25.81|Standard|1|7
7|TRK-2025-000007|8|25|2025-04-25|2025-04-29|Delivered|Sweden|Gothenburg|4420.35|209.84|Express|12|4
8|TRK-2025-000008|5|4|2025-05-08|2025-06-09|Delivered|Italy|Naples|187.50|20.34|Economy|1|32
9|TRK-2026-000009|3|9|2026-03-07|2026-03-18|Delivered|Poland|Gdansk|2991.66|116.01|Economy|8|11
10|TRK-2025-000010|1|20|2025-09-17|2025-09-23|Delivered|Austria|Vienna|8712.39|383.92|Standard|26|6
11|TRK-2025-000011|1|28|2025-06-27|2025-07-01|Delivered|Germany|Hamburg|748.12|49.42|Standard|2|4
12|TRK-2026-000012|2|27|2026-01-04|2026-01-06|Delivered|France|Marseille|756.33|49.77|Standard|2|2
13|TRK-2025-000013|5|29|2025-01-08|2025-01-25|Delivered|Switzerland|Zurich|2138.29|52.21|Standard|8|17
14|TRK-2025-000014|3|8|2025-09-12|2025-09-16|Delivered|Germany|Cologne|2241.60|91.43|Economy|12|4
15|TRK-2025-000015|9|20|2025-03-03|2025-03-11|Delivered|Austria|Vienna|3208.53|107.84|Standard|8|8
16|TRK-2025-000016|1|25|2025-05-29|2025-06-08|Delivered|France|Toulouse|523.48|35.15|Economy|2|10
17|TRK-2026-000017|9|27|2026-04-16|2026-04-25|Delivered|Poland|Warsaw|193.23|23.41|Standard|1|9
18|TRK-2025-000018|2|27|2025-03-25|2025-03-31|Delivered|United Kingdom|London|677.71|40.20|Economy|3|6
19|TRK-2025-000019|10|27|2025-03-11|2025-03-15|Delivered|Germany|Frankfurt|724.59|49.45|Express|3|4
20|TRK-2025-000020|7|19|2025-10-14|2025-10-29|Delivered|France|Toulouse|1243.45|48.84|Express|3|15
