enrollment_id|student_id|course_id|term|score|attendance_pct
1|121|19|2025 Spring|50.02|81.46
2|8|19|2025 Spring|55.28|77.10
3|226|7|2025 Spring|56.32|81.31
4|242|18|2025 Spring|74.45|84.39
5|75|3|2025 Spring|100.00|92.57
6|66|5|2025 Spring|69.54|78.98
7|159|19|2025 Spring|74.43|80.07
8|36|9|2025 Spring|65.59|91.42
9|111|19|2025 Spring|67.15|94.92
10|159|11|2025 Spring|60.60|99.58
11|40|15|2025 Spring|77.52|93.87
12|117|5|2025 Spring|69.11|67.89
13|157|10|2025 Spring|76.75|89.07
14|155|7|2025 Spring|83.96|91.51
15|243|16|2025 Spring|100.00|97.31
16|253|7|2025 Spring|69.12|83.85
17|191|5|2025 Spring|88.30|84.55
18|211|7|2025 Spring|47.38|77.90
19|285|3|2025 Spring|84.09|89.36
20|286|5|2025 Spring|78.15|49.94
21|59|19|2025 Spring|75.75|86.92
22|86|8|2025 Spring|77.81|77.98
23|187|13|2025 Spring|68.89|87.60
24|74|8|2025 Spring|78.79|83.58
25|230|4|2025 Spring|77.97|82.03
26|110|11|2025 Spring|63.16|75.75
27|269|19|2025 Spring|81.06|99.19
28|20|4|2025 Spring|69.85|73.27
29|64|7|2025 Spring|70.55|96.41
30|266|17|2025 Spring|80.53|75.05
31|293|22|2025 Spring|92.03|75.79
32|170|24|2025 Spring|66.84|85.36
33|46|14|2025 Spring|84.50|57.32
34|124|12|2025 Spring|67.91|67.60
35|23|2|2025 Spring|81.96|73.97
36|52|17|2025 Spring|97.48|74.71
37|7|13|2025 Spring|80.21|77.71
38|118|2|2025 Spring|81.91|95.46
39|40|8|2025 Spring|84.28|82.93
40|277|4|2025 Spring|71.49|83.14
41|95|9|2025 Spring|72.32|78.81
42|147|19|2025 Spring|69.85|75.47
43|287|12|2025 Spring|45.03|77.17
44|146|4|2025 Spring|83.71|84.75
45|89|16|2025 Spring|67.10|100.00
46|248|24|2025 Spring|65.53|67.03
47|100|5|2025 Spring|71.74|75.51
48|204|1|2025 Spring|62.11|80.46
49|159|5|2025 Spring|58.87|92.58
50|297|17|2025 Spring|78.94|82.88
51|130|5|2025 Spring|85.85|100.00
52|283|10|2025 Spring|79.56|88.71
53|30|23|2025 Spring|70.48|54.01
54|228|13|2025 Spring|66.80|88.76
55|274|17|2025 Spring|88.62|70.96
56|248|16|2025 Spring|79.47|77.33
57|178|21|2025 Spring|66.82|93.88
58|46|15|2025 Spring|82.14|95.37
59|49|15|2025 Spring|82.09|74.74
60|57|19|2025 Spring|75.21|85.80
61|285|23|2025 Spring|53.08|100.00
62|193|4|2025 Spring|74.19|71.62
63|268|18|2025 Spring|89.68|98.63
64|148|9|2025 Spring|66.82|79.97
65|218|12|2025 Spring|99.04|87.85
66|233|11|2025 Spring|61.97|94.49
67|148|13|2025 Spring|78.17|47.19
68|43|14|2025 Spring|71.63|82.75
69|112|6|2025 Spring|36.56|87.45
70|66|2|2025 Spring|73.71|98.93
71|109|10|2025 Spring|40.59|80.82
72|214|2|2025 Spring|78.91|79.31
73|143|20|2025 Spring|87.80|99.72
74|292|7|2025 Spring|100.00|68.07
75|53|12|2025 Spring|78.21|75.11
76|123|19|2025 Spring|75.04|76.27
77|73|3|2025 Spring|87.70|79.75
78|136|22|2025 Spring|93.39|90.34
79|290|10|2025 Spring|67.49|85.88
80|34|4|2025 Spring|48.95|80.33
81|210|14|2025 Spring|53.25|92.57
82|59|10|2025 Spring|76.41|91.39
83|37|8|2025 Spring|73.06|98.52
84|83|23|2025 Spring|79.26|100.00
85|222|13|2025 Spring|62.52|99.16
86|126|13|2025 Spring|70.04|97.44
87|152|18|2025 Spring|75.70|78.91
88|68|5|2025 Spring|84.16|93.53
89|285|18|2025 Spring|74.02|64.09
90|195|21|2025 Spring|54.06|65.09
91|49|18|2025 Spring|55.63|77.47
92|9|23|2025 Spring|73.05|84.74
93|228|22|2025 Spring|99.77|99.80
94|111|20|2025 Spring|35.00|75.02
95|63|22|2025 Spring|97.34|71.20
96|20|15|2025 Spring|71.10|84.84
97|132|1|2025 Spring|70.97|79.73
98|8|1|2025 Spring|70.00|89.05
99|80|22|2025 Spring|92.47|96.48
100|231|10|2025 Spring|38.50|76.92
101|215|3|2025 Spring|49.20|76.16
102|64|16|2025 Spring|91.04|99.24
103|247|16|2025 Spring|75.26|100.00
104|75|21|2025 Spring|82.21|91.80
105|12|21|2025 Spring|68.42|89.01
106|124|22|2025 Spring|57.00|94.99
107|96|8|2025 Spring|82.56|90.24
108|21|21|2025 Spring|74.28|82.58
109|31|9|2025 Spring|60.48|66.19
110|141|13|2025 Spring|75.86|70.40
111|288|18|2025 Spring|73.00|79.01
112|198|14|2025 Spring|81.88|99.96
113|76|20|2025 Spring|87.10|83.59
114|166|12|2025 Spring|54.94|71.61
115|268|1|2025 Spring|87.26|95.43
116|17|3|2025 Spring|55.49|87.63
117|1|21|2025 Spring|97.94|77.04
118|104|2|2025 Spring|79.37|83.88
119|108|19|2025 Spring|64.74|84.23
120|133|21|2025 Spring|100.00|100.00
121|300|3|2025 Spring|56.44|88.38
122|6|17|2025 Spring|68.18|99.67
123|283|9|2025 Spring|76.26|92.96
124|186|5|2025 Spring|68.22|90.45
125|44|21|2025 Spring|76.60|82.42
126|160|3|2025 Spring|84.57|76.74
127|92|15|2025 Spring|64.45|88.71
128|123|3|2025 Spring|89.40|72.13
129|166|8|2025 Spring|50.20|87.62
130|180|2|2025 Spring|88.79|100.00
131|297|3|2025 Spring|67.34|82.46
132|64|13|2025 Spring|89.20|70.29
133|19|22|2025 Spring|61.86|80.94
134|213|21|2025 Spring|52.69|77.81
135|209|16|2025 Spring|61.83|85.22
136|45|22|2025 Spring|93.67|76.82
137|34|17|2025 Spring|66.61|70.89
138|231|18|2025 Spring|79.17|92.94
139|206|23|2025 Spring|89.01|78.96
140|290|1|2025 Spring|81.32|81.91
141|167|17|2025 Spring|64.72|82.20
142|127|5|2025 Spring|48.35|81.77
143|21|5|2025 Spring|67.10|63.97
144|285|21|2025 Spring|89.14|79.80
145|6|2|2025 Spring|59.73|89.89
146|215|4|2025 Spring|59.82|100.00
147|169|17|2025 Spring|78.26|82.53
148|259|16|2025 Spring|50.67|89.83
149|78|2|2025 Spring|91.32|93.88
150|109|19|2025 Spring|77.94|56.95
151|124|15|2025 Spring|100.00|89.21
152|105|9|2025 Spring|62.66|100.00
153|9|15|2025 Spring|47.73|70.29
154|30|2|2025 Spring|78.16|71.84
155|117|10|2025 Spring|93.51|84.42
156|45|2|2025 Spring|90.98|71.89
157|269|7|2025 Spring|66.93|79.86
158|125|23|2025 Spring|77.68|53.34
159|65|15|2025 Spring|58.16|92.55
160|288|4|2025 Spring|72.31|93.65
161|118|1|2025 Spring|83.41|98.89
162|15|1|2025 Spring|70.39|100.00
163|130|2|2025 Spring|76.35|83.33
164|42|6|2025 Spring|61.58|79.36
165|296|13|2025 Spring|41.17|98.67
166|274|7|2025 Spring|63.12|100.00
167|201|11|2025 Spring|71.15|71.17
168|39|20|2025 Spring|66.55|86.91
169|256|12|2025 Spring|66.04|100.00
170|52|11|2025 Spring|100.00|99.72
171|140|3|2025 Spring|92.85|100.00
172|146|3|2025 Spring|61.82|91.91
173|31|14|2025 Spring|92.93|74.32
174|221|4|2025 Spring|84.01|76.54
175|178|19|2025 Spring|74.31|57.66
176|212|23|2025 Spring|90.29|100.00
177|276|10|2025 Spring|63.03|90.44
178|3|13|2025 Spring|72.58|63.73
179|229|12|2025 Spring|73.06|82.23
180|141|17|2025 Spring|85.90|98.85
181|184|3|2025 Spring|90.31|65.43
182|32|6|2025 Spring|74.68|80.15
183|202|1|2025 Spring|64.12|81.69
184|10|21|2025 Spring|48.91|100.00
185|114|24|2025 Spring|75.70|100.00
186|201|9|2025 Spring|63.64|71.43
187|247|16|2025 Spring|75.10|85.93
188|56|15|2025 Spring|72.52|87.71
189|192|3|2025 Spring|50.51|82.00
190|249|20|2025 Spring|65.60|91.34
191|286|11|2025 Spring|61.68|85.68
192|111|22|2025 Spring|100.00|66.93
193|96|24|2025 Spring|64.08|76.54
194|16|8|2025 Spring|68.24|92.16
195|246|21|2025 Spring|60.31|76.12
196|60|5|2025 Spring|73.66|76.39
197|58|10|2025 Spring|69.48|94.39
198|82|20|2025 Spring|89.94|86.04
199|283|3|2025 Spring|71.84|66.62
200|167|13|2025 Spring|49.98|94.46
201|146|7|2025 Spring|58.50|94.28
202|124|24|2025 Spring|48.62|82.04
203|249|2|2025 Spring|67.16|61.76
204|157|11|2025 Spring|76.17|96.97
205|46|8|2025 Spring|69.15|67.89
206|162|2|2025 Spring|100.00|93.88
207|178|7|2025 Spring|76.33|100.00
208|130|6|2025 Spring|63.16|100.00
209|1|6|2025 Spring|50.50|72.46
210|101|1|2025 Spring|65.10|85.23
211|230|15|2025 Spring|72.31|80.86
212|300|24|2025 Spring|80.06|73.63
213|216|3|2025 Spring|83.30|100.00
214|17|9|2025 Spring|74.36|78.15
215|140|21|2025 Spring|72.34|87.89
216|190|1|2025 Spring|100.00|66.82
217|32|23|2025 Spring|86.50|91.62
218|95|17|2025 Spring|54.03|55.47
219|80|15|2025 Spring|81.30|68.27
220|280|17|2025 Spring|73.94|67.33
221|36|19|2025 Spring|91.18|62.19
222|138|4|2025 Spring|87.17|63.83
223|254|18|2025 Spring|87.72|83.25
224|234|17|2025 Spring|53.39|92.18
225|249|5|2025 Spring|76.86|89.34
226|265|7|2025 Spring|81.93|86.41
227|269|10|2025 Spring|62.90|84.20
228|82|20|2025 Spring|77.05|88.93
229|88|12|2025 Spring|75.31|77.48
230|72|8|2025 Spring|63.97|94.41
231|300|19|2025 Spring|100.00|69.48
232|236|18|2025 Spring|87.29|81.57
233|80|3|2025 Spring|90.37|80.42
234|164|19|2025 Spring|70.10|64.04
235|138|7|2025 Spring|100.00|94.65
236|38|7|2025 Spring|73.54|75.80
237|219|11|2025 Spring|96.32|72.30
238|276|11|2025 Spring|64.89|77.05
239|232|22|2025 Spring|99.78|98.72
240|117|22|2025 Spring|58.36|85.42
241|154|23|2025 Spring|72.16|77.18
242|182|6|2025 Spring|71.76|75.25
243|238|16|2025 Spring|84.34|80.28
244|52|24|2025 Spring|74.01|87.38
245|198|12|2025 Spring|68.84|66.69
246|34|24|2025 Spring|70.24|89.66
247|185|7|2025 Spring|67.31|100.00
248|92|24|2025 Spring|49.53|79.14
249|222|21|2025 Spring|49.54|86.95
250|193|20|2025 Spring|81.98|86.57
251|60|14|2025 Spring|87.06|79.20
252|90|6|2025 Spring|74.77|69.44
253|103|16|2025 Spring|62.84|76.28
254|289|4|2025 Spring|65.57|74.92
255|267|20|2025 Spring|75.08|79.70
256|82|24|2025 Spring|47.26|78.05
257|286|15|2025 Spring|67.34|97.37
258|264|5|2025 Spring|89.58|80.17
259|190|21|2025 Spring|76.79|89.56
260|202|12|2025 Spring|71.34|70.88
261|241|15|2025 Spring|57.96|89.62
262|256|21|2025 Spring|58.77|100.00
263|219|13|2025 Spring|75.59|82.56
264|246|11|2025 Spring|78.07|70.31
265|118|21|2025 Spring|89.44|60.10
266|87|4|2025 Spring|84.26|80.26
267|188|18|2025 Spring|61.23|76.28
268|184|9|2025 Spring|72.62|66.52
269|224|10|2025 Spring|83.60|79.86
270|8|12|2025 Spring|82.11|81.36
271|70|15|2025 Spring|85.90|100.00
272|278|18|2025 Spring|67.22|83.95
273|292|18|2025 Spring|70.15|87.68
274|202|24|2025 Spring|75.65|90.48
275|93|3|2025 Spring|58.94|81.80
276|150|6|2025 Spring|86.02|96.20
277|152|18|2025 Spring|71.87|69.28
278|264|20|2025 Spring|84.46|87.51
279|84|14|2025 Spring|42.16|97.76
280|234|10|2025 Spring|74.27|98.28
281|117|2|2025 Spring|90.56|100.00
282|132|12|2025 Spring|70.04|96.03
283|53|24|2025 Spring|84.48|89.04
284|169|20|2025 Spring|76.36|77.52
285|132|14|2025 Spring|79.54|89.35
286|217|21|2025 Spring|53.11|60.96
287|179|12|2025 Spring|70.46|65.03
288|166|12|2025 Spring|80.63|78.89
289|293|23|2025 Spring|85.54|73.08
290|259|11|2025 Spring|50.40|76.14
291|125|9|2025 Spring|91.02|87.80
292|194|10|2025 Spring|75.92|67.32
293|112|6|2025 Spring|79.47|100.00
294|133|2|2025 Spring|58.00|79.79
295|162|20|2025 Spring|78.41|80.90
296|203|24|2025 Spring|72.67|67.18
297|241|18|2025 Spring|84.31|85.16
298|59|22|2025 Spring|56.62|94.11
299|279|23|2025 Spring|75.31|74.91
300|155|20|2025 Spring|83.21|84.20
301|287|15|2025 Spring|60.81|74.40
302|90|17|2025 Spring|49.91|90.79
303|113|20|2025 Spring|80.73|81.02
304|160|1|2025 Spring|89.87|86.67
305|219|23|2025 Spring|61.24|85.02
306|56|16|2025 Spring|89.98|80.68
307|259|14|2025 Spring|70.59|73.70
308|124|14|2025 Spring|81.12|91.01
309|167|7|2025 Spring|85.44|88.44
310|100|12|2025 Spring|68.44|77.41
