order_id|line_no|product_id|qty|unit_price|discount_pct
1|1|54|3|592.11|10
2|1|75|3|164.95|5
2|2|22|1|31.77|10
3|1|32|2|886.69|0
3|2|35|1|444.17|10
3|3|78|1|44.80|5
3|4|25|5|56.61|0
3|5|77|1|62.44|0
4|1|48|3|298.20|0
4|2|1|1|27.42|0
5|1|64|3|128.47|0
5|2|75|1|147.59|15
5|3|76|2|183.27|0
6|1|60|3|108.60|0
6|2|26|1|53.73|0
6|3|72|1|57.31|0
6|4|56|1|842.57|0
6|5|42|1|65.62|0
7|1|55|2|56.76|15
7|2|75|1|138.90|20
8|1|2|1|102.77|15
8|2|68|3|187.11|5
8|3|64|2|128.47|0
9|1|77|1|59.32|5
9|2|80|3|112.72|0
10|1|67|1|51.08|20
11|1|22|1|35.30|0
12|1|62|1|343.36|10
12|2|22|1|35.30|0
12|3|32|6|886.69|0
12|4|68|2|177.26|10
12|5|28|3|42.72|5
12|6|73|1|194.25|0
13|1|31|1|572.84|0
14|1|74|1|157.11|0
14|2|73|1|194.25|0
15|1|59|3|533.05|15
16|1|14|1|190.57|0
16|2|65|2|165.25|5
16|3|44|1|73.28|0
17|1|50|1|492.26|5
17|2|77|1|62.44|0
17|3|69|1|193.06|5
17|4|13|3|361.83|0
17|5|35|6|493.52|0
18|1|24|4|17.11|25
19|1|64|1|128.47|0
20|1|73|1|194.25|0
20|2|51|5|479.47|0
20|3|54|2|625.00|5
20|4|19|1|379.68|0
20|5|24|5|20.53|10
21|1|37|2|290.89|0
21|2|72|2|57.31|0
21|3|77|1|59.32|5
21|4|44|2|73.28|0
22|1|10|1|54.08|0
22|2|5|1|82.16|0
22|3|37|3|290.89|0
22|4|45|1|75.35|10
22|5|72|3|57.31|0
23|1|4|2|39.44|0
23|2|5|1|82.16|0
23|3|68|2|196.96|0
23|4|51|2|431.52|10
23|5|19|5|360.70|5
23|6|17|2|304.08|0
23|7|58|1|720.71|0
23|8|6|2|51.68|5
24|1|59|1|595.76|5
24|2|3|4|148.69|0
24|3|19|5|322.73|15
24|4|72|2|57.31|0
25|1|16|1|249.79|10
26|1|76|1|183.27|0
27|1|77|1|59.32|5
28|1|35|1|493.52|0
28|2|27|3|25.62|5
28|3|55|2|66.78|0
29|1|14|1|190.57|0
29|2|12|2|137.61|0
29|3|57|2|708.88|0
29|4|48|5|268.38|10
29|5|2|4|108.82|10
29|6|44|4|73.28|0
29|7|38|2|1260.44|0
29|8|50|3|518.17|0
30|1|70|1|362.97|0
30|2|29|3|11.38|0
30|3|64|1|128.47|0
31|1|20|1|45.32|0
31|2|46|3|264.10|0
31|3|62|4|381.51|0
31|4|33|1|916.67|0
31|5|23|1|14.91|5
32|1|39|1|180.18|0
32|2|41|5|315.72|0
32|3|24|1|22.81|0
32|4|13|3|361.83|0
32|5|49|2|395.78|0
33|1|50|1|518.17|0
33|2|49|1|356.20|10
33|3|78|1|42.44|10
34|1|7|2|79.24|0
34|2|44|1|65.95|10
34|3|11|3|268.79|0
35|1|51|2|479.47|0
35|2|13|1|361.83|0
35|3|3|1|148.69|0
35|4|68|1|196.96|0
35|5|48|1|298.20|0
36|1|3|3|126.39|15
36|2|59|5|501.70|20
37|1|68|1|187.11|5
37|2|62|2|381.51|0
37|3|38|1|1260.44|0
37|4|65|1|173.95|0
37|5|4|1|33.52|15
37|6|14|3|181.04|5
38|1|14|1|190.57|0
39|1|37|4|290.89|0
40|1|15|1|77.82|0
41|1|78|1|47.16|0
41|2|9|1|41.66|0
41|3|52|2|124.59|0
41|4|29|1|9.10|20
41|5|43|1|390.04|0
41|6|1|1|27.42|0
41|7|28|1|44.97|0
42|1|49|1|395.78|0
42|2|69|1|182.90|10
42|3|67|1|63.85|0
42|4|77|6|62.44|0
42|5|80|1|112.72|0
43|1|36|5|600.54|0
