order_id|customer_id|order_date|status|channel|shipping_fee
1|22|2025-01-27|Delivered|Mobile App|6.99
2|182|2025-06-04|Delivered|Marketplace|4.99
3|260|2026-07-06|Delivered|Web|6.99
4|266|2026-08-18|Delivered|Mobile App|2.99
5|254|2025-11-19|Shipped|Web|6.99
6|63|2025-06-08|Delivered|Phone|4.99
7|103|2025-04-10|Delivered|Web|0.00
8|109|2025-06-10|Delivered|Phone|2.99
9|64|2025-11-05|Delivered|Web|4.99
10|36|2025-02-08|Delivered|Web|0.00
11|158|2025-06-22|Shipped|Web|0.00
12|277|2025-09-27|Delivered|Web|9.99
13|121|2026-04-19|Cancelled|Mobile App|4.99
14|110|2025-12-08|Delivered|Marketplace|9.99
15||2025-04-17|Delivered|Mobile App|4.99
16|288|2025-06-20|Delivered|Mobile App|0.00
17|156|2026-09-28|Processing|Marketplace|6.99
18|286|2026-05-09|Shipped|Web|6.99
19|198|2025-10-12|Delivered|Web|9.99
20|76|2026-02-03|Delivered|Phone|14.99
21|171|2025-01-14|Returned|Marketplace|4.99
22||2026-08-20|Shipped|Marketplace|14.99
23||2026-06-16|Delivered|Mobile App|2.99
24|366|2025-06-27|Cancelled|Marketplace|0.00
25|117|2025-11-14|Delivered|Mobile App|0.00
26|200|2026-01-08|Delivered|Mobile App|0.00
27|84|2026-01-07|Delivered|Mobile App|4.99
28|342|2025-12-23|Cancelled|Mobile App|6.99
29|317|2025-04-25|Delivered|Web|6.99
30||2025-12-02|Cancelled|Web|4.99
31||2026-09-10|Delivered|Marketplace|2.99
32|18|2025-11-29|Delivered|Mobile App|2.99
33|75|2026-02-27|Delivered|Phone|4.99
34|175|2025-06-16|Delivered|Phone|4.99
35|75|2026-01-11|Delivered|Web|4.99
36|93|2026-02-18|Returned|Mobile App|4.99
37|279|2026-05-11|Delivered|Web|0.00
38|14|2025-01-28|Returned|Web|0.00
39|309|2026-08-30|Delivered|Web|0.00
40|158|2026-06-10|Delivered|Web|2.99
41|395|2026-04-06|Delivered|Web|6.99
42|80|2026-07-11|Shipped|Web|9.99
43|48|2026-01-07|Delivered|Marketplace|0.00
44|142|2025-08-15|Cancelled|Marketplace|2.99
45|110|2026-01-31|Delivered|Mobile App|2.99
46|95|2025-11-21|Delivered|Web|0.00
47|70|2026-07-11|Shipped|Web|14.99
48|222|2025-09-16|Delivered|Mobile App|2.99
49|242|2025-01-26|Delivered|Mobile App|14.99
50|65|2026-06-11|Delivered|Marketplace|4.99
51||2025-11-13|Delivered|Web|0.00
52||2026-03-13|Delivered|Mobile App|9.99
53|242|2026-08-28|Cancelled|Marketplace|9.99
54|33|2025-12-26|Cancelled|Web|9.99
55|309|2026-09-14|Processing|Web|0.00
56|156|2026-06-05|Delivered|Web|2.99
57|344|2025-01-04|Shipped|Web|2.99
58|117|2025-10-14|Delivered|Mobile App|0.00
59|59|2025-07-01|Cancelled|Mobile App|4.99
60|73|2025-02-17|Delivered|Mobile App|6.99
61|15|2026-05-31|Delivered|Mobile App|0.00
62|313|2026-05-12|Delivered|Web|4.99
63|240|2026-02-05|Delivered|Web|4.99
64|350|2026-08-23|Shipped|Web|4.99
65|7|2025-10-10|Shipped|Web|4.99
66|254|2026-03-09|Shipped|Web|4.99
67|76|2026-07-24|Delivered|Web|4.99
68|195|2025-11-08|Delivered|Web|0.00
69|298|2025-03-20|Shipped|Web|2.99
70|299|2025-06-29|Shipped|Web|2.99
71|278|2026-02-10|Delivered|Web|2.99
72|54|2026-04-11|Delivered|Web|4.99
73|376|2025-08-19|Delivered|Mobile App|6.99
74||2026-07-17|Shipped|Mobile App|2.99
75|215|2026-02-19|Delivered|Marketplace|6.99
76|309|2026-04-20|Cancelled|Phone|4.99
77|355|2026-05-09|Delivered|Web|14.99
78|41|2026-07-14|Cancelled|Marketplace|4.99
79|368|2026-04-17|Delivered|Web|4.99
80|347|2025-05-21|Delivered|Phone|6.99
81|33|2025-12-12|Delivered|Marketplace|4.99
82|110|2025-09-07|Delivered|Mobile App|4.99
83||2025-08-20|Delivered|Marketplace|2.99
84|117|2025-08-01|Delivered|Web|6.99
85|387|2025-11-07|Returned|Mobile App|0.00
86|264|2025-09-25|Delivered|Web|4.99
87|73|2025-04-19|Delivered|Web|9.99
88|305|2026-07-14|Delivered|Marketplace|2.99
89|368|2026-03-31|Delivered|Web|6.99
90|243|2026-07-31|Delivered|Web|0.00
91|110|2026-04-22|Delivered|Mobile App|0.00
92|370|2026-01-13|Delivered|Web|6.99
93|67|2025-08-11|Returned|Marketplace|9.99
94|254|2025-10-22|Delivered|Web|6.99
95|90|2025-08-12|Delivered|Web|4.99
96|223|2025-05-28|Returned|Mobile App|4.99
97|254|2026-02-05|Delivered|Web|6.99
98|275|2025-01-16|Shipped|Mobile App|4.99
99|52|2025-12-14|Delivered|Phone|6.99
100|339|2025-10-05|Delivered|Web|4.99
101|390|2026-04-11|Cancelled|Mobile App|2.99
102|110|2026-04-18|Delivered|Web|4.99
103|171|2025-12-22|Delivered|Web|2.99
104|199|2026-01-12|Shipped|Mobile App|2.99
105|171|2025-11-03|Delivered|Marketplace|14.99
106|264|2026-02-13|Delivered|Marketplace|2.99
107|87|2026-07-09|Delivered|Mobile App|0.00
108|110|2026-08-14|Delivered|Web|9.99
109|103|2026-03-29|Shipped|Mobile App|2.99
110|11|2025-10-13|Cancelled|Web|4.99
111|198|2025-05-12|Delivered|Mobile App|2.99
112|286|2026-01-30|Cancelled|Phone|2.99
113|29|2025-09-21|Delivered|Mobile App|14.99
114|196|2026-07-26|Delivered|Phone|4.99
115|171|2026-06-04|Shipped|Mobile App|2.99
116|314|2025-08-07|Cancelled|Marketplace|9.99
117|77|2025-01-07|Delivered|Web|4.99
118|152|2025-12-08|Shipped|Web|4.99
119|110|2025-12-11|Delivered|Mobile App|2.99
120|262|2025-05-08|Delivered|Mobile App|0.00
121|33|2025-11-09|Cancelled|Web|9.99
122|311|2025-08-04|Cancelled|Web|6.99
