ticket_id|subject|account_id|agent_id|channel|category|priority|status|opened_date|resolved_date|sla_breached|first_response_minutes|resolution_hours
1|Where do I set the currency?|57|3|Phone|How-To|Low|Closed|2025-09-03|2025-09-09|1|27|156.82
2|How do I share a dashboard?|21|11|Phone|How-To|Low|Closed|2025-11-06|2025-11-09|0|4|73.78
3|Please split this invoice|11|10|Web Form|Billing|Urgent|Closed|2025-08-25|2025-08-25|0|173|0.94
4|Training session request|36|13|Email|Onboarding|Low|Closed|2026-01-01|2026-01-04|0|8|80.30
5|Login loop after update|56|1|Web Form|Bug|Urgent|Closed|2025-06-17|2025-06-17|0|4|1.59
6|Invoice does not match the order|53|10|Email|Billing|Low|Closed|2026-03-30|2026-04-01|0|79|48.48
7|Kick-off call follow-up|47|15|Email|Onboarding|Normal|Resolved|2026-05-17|2026-05-17|0|30|5.40
8|Please split this invoice|9|11|Phone|Billing|Normal|Closed|2025-07-13|2025-07-13|0|17|4.99
9|Wrong VAT rate on the last bill|13|1|Email|Billing|High|Closed|2025-07-05|2025-07-05|0|43|5.11
10|Where do I set the currency?|26|11|Email|How-To|Low|Closed|2025-10-28|2025-10-31|0|3|79.39
11|Totals differ from the source|26|12|Email|Bug|Normal|Closed|2026-07-26|2026-07-27|0|67|30.90
12|Login loop after update|10|8|Chat|Bug|Normal|Waiting on Customer|2026-09-12||1|75|
13|User accounts for the new team|29|15|Phone|Onboarding|Low|Closed|2025-07-23|2025-07-23|0|331|16.07
14|How do I add a second connection?|44|2|Phone|How-To|Normal|Closed|2025-03-01|2025-03-01|0|28|10.81
15|Server unreachable this morning|40|2|Email|Outage|Normal|Closed|2025-01-02|2025-01-02|0|3|8.22
16|How do I schedule a report?|30|14|Email|How-To|Normal|Closed|2026-04-08|2026-04-08|0|26|19.01
17|Credit note request|58|12|Email|Billing|High|Closed|2025-08-28|2025-08-28|1|19|20.37
18|Login loop after update|50|8|Web Form|Bug|High|Closed|2025-01-28|2025-01-28|0|3|9.77
19|Dashboards time out|8|7|Web Form|Outage|Normal|Closed|2026-08-01|2026-08-06|1|89|131.62
20|How do I share a dashboard?|52|1|Chat|How-To|Low|Closed|2025-08-28|2025-08-29|0|33|43.81
21|Scheduled jobs are queued|19|10|Email|Outage|Urgent|Resolved|2026-05-08|2026-05-08|0|44|0.56
22|Please split this invoice|55|10|Phone|Billing|Urgent|Closed|2025-08-10|2025-08-10|0|6|2.67
23|Please add a CSV export|3|7|Phone|Feature Request|High|Waiting on Customer|2025-06-10||1|196|
24|Scheduled jobs are queued|48|4|Email|Outage|Low|Resolved|2025-08-27|2025-08-27|0|200|10.31
25|Invoice does not match the order|38|10|Email|Billing|Low|Closed|2025-04-14|2025-04-14|0|125|22.36
26|Dashboards time out|10|9|Email|Outage|Normal|Waiting on Customer|2026-09-02||1|315|
27|Please split this invoice|13|10|Email|Billing|Low|Waiting on Customer|2025-09-20||1|21|
28|Filter by region|23|9|Email|Feature Request|High|Closed|2026-03-22|2026-03-22|0|42|7.59
29|Login loop after update|41|9|Email|Bug|High|Closed|2025-11-28|2025-11-28|0|157|2.82
30|Dashboards time out|42|7|Phone|Outage|Normal|Closed|2026-01-26|2026-01-26|0|300|8.38
31|How do I schedule a report?|58|5|Web Form|How-To|Normal|Closed|2025-11-25|2025-11-25|0|61|7.29
32|Dark mode for the dashboards|7|7|Chat|Feature Request|High|Resolved|2025-02-15|2025-02-15|0|37|5.55
33|Invoice does not match the order|8|11|Email|Billing|High|Closed|2026-08-02|2026-08-02|0|12|1.90
34|Dark mode for the dashboards|9|10|Web Form|Feature Request|Normal|Closed|2026-08-30|2026-08-31|0|26|34.96
35|How do I schedule a report?|46|2|Chat|How-To|High|Resolved|2025-06-20|2025-06-20|0|92|9.52
36|Credit note request|55|11|Phone|Billing|Urgent|Resolved|2025-04-14|2025-04-14|0|4|0.41
37|Totals differ from the source|50|9|Phone|Bug|Low|Resolved|2025-05-21|2025-05-21|0|13|23.53
38|Dashboards time out|22|9|Email|Outage|Urgent|Closed|2025-10-15|2025-10-15|1|82|12.94
39|Login loop after update|45|11|Email|Bug|Low|Closed|2025-05-05|2025-05-07|0|23|68.02
40|How do I add a second connection?|20|4|Email|How-To|High|Closed|2025-07-17|2025-07-17|0|46|2.99
41|Please split this invoice|46|12|Email|Billing|High|Closed|2026-05-27|2026-05-27|0|45|5.24
42|Please split this invoice|18|12|Chat|Billing|Urgent|Closed|2025-06-27|2025-06-27|0|62|1.21
43|How do I schedule a report?|47|2|Chat|How-To|High|Closed|2025-02-28|2025-02-28|1|179|18.15
44|How do I add a second connection?|27|1|Email|How-To|High|Closed|2025-12-11|2025-12-11|0|68|2.93
